gardiner_num,hieroglyph,description,details,is_priority
E3,𓃔,Calf,Det. in bḥs “calf”,
E4,𓃕,Sacred cow,Det. in ḥs3t “sacred cow.”,
E5,𓃖,Cow with calf,Det. in 3ms “show solicitude.”,
E6,𓃗,Horse,Ideo. or Det. in ssmt “horse.” Det. in ibr “stallion.”,
E7,𓃘,Donkey,Det. in ʿ3 “donkey.”,
E8,𓃙,Kid,"Phon. ib, “kid.” Det. in ʿwt “flocks.”",
E9,𓃚,Newborn bubalis,Phon. iw. In iwr “conceive.”,
E10,𓃛,Ram,"Det. in b3 “ram,” ẖnmw “Khnum,”ʿwt ḥḏt “white flocks, sheep”",
E11,𓃞,Ram,Use as E10,
E12,𓃟,Pig,Det. in rri “pig.”,
E13,𓃠,Cat,Det. in miw “cat.”,
E14,𓃡,Dog,"Det. in iw “dog,” ṯsm “hound.”",
E15,𓃢,Recumbent Jackal,"Det. or Ideo. in Inpw, “Anubis.”",
E16,𓃣,Recumbent Jackal on shrine,Use as E15.,
E17,𓃥,Jackal,Det. or Ideo. in s3b “jackal” and “dignitary.”,
E18,𓃧,Jackal on standard R12,"Det. or Ideo. in Wp-w3wt “Opener of ways, Wepwawet.”",
E19,𓃨,O.K. form of last,Use as E18,
E20,𓃩,Seth animal,"Det. or Ideo. in stẖ, stš “Seth.” Det. in ẖnnw “turmoil,” sh3 “confusion.”",
E21,𓃫,Recumbent Seth animal,"Det. in nšni “storm, rage.”",
E22,𓃬,Lion,Det. or Ideo. in m3i “lion”,
E23,𓃭,Recumbent Lion,Phon. rw. Det. or Ideo. in rw “lion.”,
E24,𓃮,Panther,"Det. or Ideo. in 3by “panther, leopard.”",
E25,𓃯,Hippopotamus,"Det. in db, dib “hippopotamus.”",
E26,𓃰,Elephant,Det. 3bw “elephant.” Ideo. in 3bw “Elephantine.”,
E27,𓃱,Giraffe,Det. sr “foretell.” Det. or Ideo in mmi “giraffe.”,
E28,𓃲,Oryx,Det. in m3ḥḏ “oryx.”,
E29,𓃴,Gazelle,Det. in gḥs “gazelle.”,
E30,𓃵,Ibex,"Det. in n3w, nr3w, ni3 “ibex.”",
E31,𓃶,Goat with collar,"Det. in sʿḥ “rank, privilege.”",
E32,𓃷,Baboon,"Det. in iʿn “baboon,” ky “monkey,” qnd “furious.”",
E33,𓃸,Monkey,"Det. gf, gif “monkey.”",
E34,𓃹,Hare,Phono. wn. wnn “be.”,
F1,𓃾,Head of ox,Ideo. in offering formulas for k3 “cattle.”,
F2,𓄀,Head of charging ox,Det. in ḏnd “rage.”,
F3,𓄁,Head of hippopotamus,"Phono. 3t. Det. or Ideo. in “moment, attack.”",
F4,𓄂,Forepart of lion,"Ideo. in ḥ3t “front,” ḥ3ty “heart.”",
F5,𓄃,Head of bubalis,Phon. šs3. Det. and Ideo. in šs3 “skilled” and “prayer.”,
F6,𓄄,Forepart of bubalis,Use as F5,
F7,𓄅,Head of ram,"Det. in šft “ram’s head.” Det. or Ideo. in šfyt “worth, dignity.”",
F8,𓄆,Forepart of ram,Use as F7,
F9,𓄇,Head of leopard,Det. or Ideo. in pḥty “strength.”,
F10,𓄈,Head and neck of animal,"Det. in ḫḫ “throat,” ʿm “swallow.”",
F11,𓄉,O.K. form of F10,Use as F10,
F12,𓄊,Head and neck of jackal,Phon. wsr. Ideo in wsrt “neck.” In wsr “powerful”,
F13,𓄋,Horns of ox,"Phon. wp. Ideo. in wpt “brow, beginning.”",
F14,𓄍,Combination of F13 and M4,Ideo. wpt-rnpt “Opening of the Year.”,
F15,𓄎,Combination of F14 and N5,Use as F14,
F16,𓄏,Horn,"Phono. ʿb. Det. or Ideo. in db “horn,” ʿb “horn.” In m-ʿb “together with.”",
F17,𓄐,Combination of F16 and D60 water vessel,Det. or Ideo. in ʿbw “purification.”,
F18,𓄑,Tusk of elephant,"Phono. bḥ, ḥw. Det. and Ideo. in ibḥ “tooth.” Det. in sbḥ “cry.”",
F19,𓄒,Jawbone of ox,Det. in ʿrt “jaw.”,
F20,𓄓,Tongue,Phono. ns. In ns “tongue.” Ideo. in imy-r “overseer.”,
F21,𓄔,Ear of ox,"Phono. sḏm, idn. Det. or Ideo. in msḏr “ear. Ideo. sḏm, “hear.”",
F22,𓄖,Hindquarters of leopard or lion,"Phono. pḥ in “reach,” pḥty “strength.” Ideo. for pḥwy “end.”",
F23,𓄗,Foreleg of ox,"Det. or Ideo. in ḫpš “strong arm, leg.”",
F24,𓄘,Reverse of F23,Use as F23.,
F25,𓄙,Leg and hoof of ox,"Phono. wḥm in “hoof,” “repeat.”",
F26,𓄚,Goatskin,"Phono. ẖn. In ẖnw “interior,” ẖn “approach.”",
F27,𓄛,Cowskin,"Det. in dḥr “hide,” msk3 “skin.”",
F28,𓄜,Var. of F27,Phono. s3b.,
F29,𓄝,Combination of F28 + arrow,"Phono. st. Det. and Ideo. sti “pierce, shoot.”",
F30,𓄞,Water skin,"Phono. šd. In šdi “draw forth,” šdw “water skin.”",
F31,𓄟,Three fox skins,Phono. ms. In msi “give birth.”,
F32,𓄡,Animal belly and tail,"Phono. ẖ. Ideo. in ẖt “belly, body.”",
F33,𓄢,Tail,Phono. sd. Det. and Ideo in sd “tail.”,
F34,𓄣,Heart,Ideo. in ib “heart.” Det. of ” ḥ3ty “heart.”,
F35,𓄤,Heart and windpipe,"Phono. nfr. In nfr “good, beautiful.”",
F36,𓄥,Lung and windpipe,Phono. sm3. In sm3 “unite” and “lung.”,
F37,𓄦,Backbone and ribs,Det. or Ideo. in i3t “back.” Det. in psd “back.”,
F38,𓄨,Var. of F37,Det. in psd “back.”,
F39,𓄪,Backbone and spinal cord,Det. and Ideo. in im3ḫ “spine” and “honor.”,
F40,𓄫,Backbone and spinal cord at each end,Phono. 3w.,
F41,𓄬,Vertebrae,Det. in psd “back.”,
F42,𓄭,Rib,Phono. spr. In spr “approach.”,
F43,𓄮,Ribs,Det. in sḥpt “ribs.”,
F44,𓄯,Leg bone with meat,"Phono. iwʿ, isw. In iwʿ inherit,” siw “exchange.”",
F45,𓄰,Heifer uterus,"Det. or Ideo. in dit “vulva, cow.”",
F46,𓄲,Intestine,"Ideo. in q3b “instestine,” m-q3b “in the midst of” pḫr “turn.”",
F47,𓄴,Var. of F46,Use as F46.,
F48,𓄶,Var. of F46,Use as F46.,
F49,𓄷,Var. of F46,Use as F46.,
F50,𓄸,Combination of F46 and S29,"Phono. spḫr, “write, copy.”",
F51,𓄹,Piece of flesh,"Phono. is, ist, ws. Det. ḥʿ “flesh,” iwf “meat.”",
F52,𓄽,Excrement,Det. in ḥs “excrement.”,
G1,𓄿,Vulture,Phono. 3. In 3 “vulture.’,TRUE
G2,𓅀,Two Vultures,Phono 33. In m33 “see.”,
G3,𓅁,Combination of G1 + U1,Phono. in m3. In sm3wy “renew.”,
G4,𓅂,Buzzard,Phono. tyw.,TRUE
G5,𓅃,Falcon,Ideo. ḥrw “Horus.”,
G6,𓅄,Falcon with flail,De.t in bik “falcon.”,
G7,𓅆,Falcon on standard,"Det. imn “Amun,” nsw “king,” divine. 1st sing. pro. i, wi, with divine speaker.",
G7a,𓅇,"Var of G7, Falcon in boat",Ideo. nmty “Nemty”,
G7b,𓅈,"Var of G7, G7a",Use as G7a.,
G8,𓅉,Combination of G5 + S12,Ideo. Hr/bik nbw “Golden Horus/falcon.”,
G9,𓅊,Falcon with sun disk,Ideo. in rʿ-ḥrw-3ḫty “Re-Horakhty.”,
G10,𓅋,Falcon in sacred bark,"Det. in skr “Sokar,” ḥnw “Sokar bark.”",
G11,𓅌,Falcon image,"Det. in ʿšm, ʿẖm, ʿḫm “divine image,” šnbt “breast.”",
G12,𓅎,Falcon image with flail,Use as G11.,
G13,𓅏,Falcon image with S9,Ideo. ḥrw nḫny “Horus of Hierakonopolis.” Det. in spdw “Sopdu.”,
G14,𓅐,Vulture,"Phono. mwt, mt. In mwt “mother.”",
G15,𓅑,Vulture with flail,Det. in mwt “Mut.”,
G16,𓅒,Nehkbet and Edjo,Ideo. in nbty “Two Ladies” (title of Pharaoh),
G17,𓅓,Owl,Phono. m.,TRUE
G18,𓅔,Two Owls,Phono. mm.,
G19,𓅕,Combination of G17 + D37,"Phono. mi, m.",
G20,𓅖,Combination of G17 + D36,Use as G19.,
G21,𓅘,Guinea fowl,Phono. nḥ. In nḥḥ “eternity.”,
G22,𓅙,Hoopoe,Phono. ḏb/ḏbt.,
G23,𓅚,Lapwing,Det. and Ideo. in rḫyt “commoners.”,
G24,𓅛,Var. of G23,Use as G23.,
G25,𓅜,Crested Ibis,Phono. 3ḫ. In “spirit.”,
G26,𓅝,Sacred ibis on standard,Det. in ḏḥwty “Thoth.”,
G26a,𓅞,Sacred ibis,Use as G26.,
G27,𓅟,Flamingo,"Phono. dšr. In dšr “red,” “flamingo.”",
G28,𓅠,Black ibis,Phono. gm. In gmi “find.”,
G29,𓅡,Jabiru,Phono. b3. In “soul.”,
G30,𓅢,Three jabirus,"Ideo. in b3w “spirits, strength.”",
G31,𓅣,Heron,Det. in šnty “heron.”,
G32,𓅤,Heron on perch,Det. or Ideo. in bʿḫi “inundated.”,
G33,𓅥,Egret,Det. sd3 “tremble.”,
G34,𓅦,Ostrich,Det. in niw “ostrich.”,
G35,𓅧,Cormorant,Phono. ʿq. In ʿq “enter.”,
G36,𓅨,Swallow,Phono. wr. In wr “great.”,TRUE
G37,𓅪,Sparrow,"Det. in nḏs “small,” bin “bad.”",TRUE
G38,𓅬,Goose,"Phono. gb. In gb “Geb.” Det. in wf3 “talk,” wsf “idle,” ḥtm “perish.”",
G39,𓅭,Duck,Phono. s3. In s3 “son.” Det. in si “duck.”,
G40,𓅮,Duck flying,"Phono. p3. In p3 “the,” “fly.”",
G41,𓅯,Duck landing,"Phono. ḫn. In ḫni “alight, halt,” ḫn “speech,” qm3 “throw,” “create.”",
G42,𓅰,Fattened bird,"Det. and Ideo. in wš3 “fatten,” ḏf3w “provisions.”",
G43,𓅱,"Quail chick, var. Z7",Phono. w.,TRUE
G44,𓅳,Two quail chicks,Phono. ww. In pḥww “end.”,
G45,𓅴,Combination of G43 + D36,Phono wʿ.In wʿw “soldier.”,
G46,𓅶,Combination of G43 + U1,Phono. m3w.,
G47,𓅷,Duckling,Phono. ṯ3. In ṯ3y “male.”,
G48,𓅸,Three ducklings in nest,Ideo. in sš “nest.”,
G49,𓅹,Ducks’ heads protruding from pool,Det. or Ideo. in sš “nest.”,
G50,𓅺,Two plovers,Ideo. for rḫty “washerman.”,
G51,𓅻,Bird pecking fish,Det. in ḥ3m “catch fish.”,
G52,𓅼,Goose feeding,Det. in snm “feed.”,
G53,𓅽,Human headed bird,Ideo. in b3 “soul.”,
G54,𓅾,Plucked bird,Phono. snḏ. In snḏ “fear.”,
H1,𓅿,Head of duck,Ideo. in 3pd “bird.” Det. in wšn “wring the neck of birds.”,
H2,𓆀,Head of crested bird,"Phono. m3ʿ, wšm, p3q. Det. in m3ʿ “temple of the head,” “true.”",
H3,𓆁,Head of spoonbill,Phono. p3q.,
H4,𓆂,Head of vulture,Phono. nr. Det. in nrt “vulture.”,
H5,𓆃,Wing,Det. in ḏnḥ “wing.”,
H6,𓆄,Feather,Phono. šw. Ideo. in šwt “feather.” Det. and Ideo. in m3ʿt “truth.”,
H7,𓆆,Claw,"Phono. š3, š3t. In š3t “Shat” (location).",
H8,𓆇,Egg,Ideo. in s3 “son.” Det. sḥwt “egg.”,
I1,𓆈,Lizard,"Phono. ʿš3. Det. for lizard. ex. ʿš3 “lizard” and ʿš3 “many, numerous.”",
I2,𓆉,Turtle,Det. or Ideo. for štyw “turtle.”,
I3,𓆊,Crocodile,"Det. or Ideo. for crocodile. ex. msḥ “crocodile,” 3d “agressive.” Ideo. ity “sovereign,” when reduplicated",
I4,𓆋,Crocodile on shrine,Det. sbk “Sobek.”,
I5,𓆌,Crocodile with curved tail,"Det. in s3q “collect, gather.”",
I6,𓆎,Crocodile scales,Phono. km. In kmt “Egypt.”,
I7,𓆏,Frog,Det. in ḥqt “Heqet.” Ideo. wḥm ʿnḫ “repeating life.”,
I8,𓆐,Tadpole,"Det. ḥfnr “tadpole.” Ideo. ḥfn “100,000.”",
I9,𓆑,Horned viper,Phono. f. Det. in it “father.”,TRUE
I10,𓆓,Cobra,Phono. ḏ.,
I11,𓆕,Two cobras,Phono ḏḏ.,
I12,𓆗,Erect cobra,Det. in ʿirt “uraeus.” Det. of goddesses.,
I13,𓆘,Combination of I12 + V30,Det. in w3ḏt “Wadjet.”,
I14,𓆙,Snake,"Det. ḥf3w “snake, serpent.”",
I15,𓆚,Var. of I15,Use as I14.,
K1,𓆛,Bulti fish,Phono. in. In int “bulti.”,
K2,𓆜,Barbel fish,Phono. bw. In bwt “abomination.”,
K3,𓆝,Mullet fish,Phono. ʿḏ. In ʿḏ-mr “district administrator.”,
K4,𓆞,Oxyrhynchus fish,Phono. ẖ3. In ẖ3t “oxyrhynchus.”,
K5,𓆟,Pike fish,Phono. bs. Det. in bsi “introduce.”,
K6,𓆠,Fish scale,Det. and Ideo. in nšmt “fish scale.”,
K7,𓆡,Blowfish,Det. špt “discontented.”,
L1,𓆣,Scarab beetle,"Phono. ḫpr. In ḫpr “being, exist, become.",
L2,𓆤,Bee,Ideo. for bity “King of Lower Egypt.”,
L3,𓆦,Fly,Det. in ʿff “fly.”,
L4,𓆧,Locust,Det. in snḥm “locust.”,
L5,𓆨,Centipede,Det. sp3 “centipede.”,
L6,𓆩,Shell,Phono ḫ3. In ḫ3wt “offering table.”,
L7,𓆫,Scorpion,Det. and Ideo. in srqt “Selket.”,
M1,𓆭,Tree,"Phono. im3. Det. nhwt, mnw “trees.”",
M2,𓆰,Plant,"Phono. ḥn. In ḥni “rush,” ḥnw “vessel.” Det. in is “tomb.”",
M3,𓆱,Branch,"Phono. ḫt. In ḫt “wood,” ḫtyw “terrace,” nḫt “strong.”",
M4,𓆳,Stripped palm branch,"Ideo. in rnpt “year,” ḥsbt “regnal year.” Det. in tr “time.”",
M5,𓆴,Combination of M4 + X1,"Det. or Ideo. in tr “time, season.”",
M6,𓆵,Combination of M4 + D21,"Det. or Ideo. in tr “time, season.”",
M7,𓆶,Combination of M4 + Q3,Det. or Ideo. in rnpi “young.”,
M8,𓆷,Pool with lilies,Phono š3. In š3 “marsh.” Ideo. 3ḫt “Inundation” (season).,
M9,𓆸,Lily,Det. or Ideo in sšn “lily.”,
M10,𓆹,Lily bud,Det. in nḥbt “lily bud.”,
M11,𓆻,Flower and stem,Det. or Ideo. in wdn “offer.”,
M12,𓆼,Lily plant,"Phono. ḫ3. In ḫ3w nw sšn “lily plants” ḫ3 “1,000,” sḫ3 “remember.”",
M13,𓇅,Papyrus stem,"Phono. w3ḏ, wḏ.",
M14,𓇆,Combination of M13 and I10,Phono. w3ḏ. In w3ḏ wr “the sea.”,
M15,𓇇,Papyrus clump with downward facing buds.,Phono. 3ḫ. In 3ḫ-bit “Chemmis.” Det. of Papyrus.,
M16,𓇉,Papyrus clump,Phono. ḥ3 . In ḥ3q “capture.” Det. in “The Delta.”,
M17,𓇋,Reed leaf,"Phono. i. Phono. y, when doubled.",TRUE
M18,𓇍,Combination of M17 + D54,Phono i. In ii “come.”,
M19,𓇎,Conical cakes between signs M17 and U36,Det. and Ideo. in ʿ3bt “offering.”,
M20,𓇏,Reed field,"Det. sḫt “marshland,” sm “occupation.”",
M21,𓇐,Reed field with root,"Det. in sm “plant,” “help.”",
M22,𓇑,Rush with shoots,"Phono. nḫb . Phono. nn, when doubled. In nḫbt “germination,” “Nehkbet.”",
M23,𓇓,Sedge,Phono. sw. Ideo. nswt “king.”,
M24,𓇔,Combination of M23 + D21,Ideo. rsw “south.”,
M25,𓇖,Combination of M26 + M24,Use as M24.,
M26,𓇗,Sedge,Phono. šmʿ. Ideo. šmʿw in “Upper Egypt.”,
M27,𓇘,Combination of M26 + D36,Phono. šmʿ.,
